DATE,ATNHPIUS17820Q
1979-04-01,48.65
1979-07-01,50.42
1979-10-01,51.55
1980-01-01,53.1
1980-04-01,55.62
1980-07-01,58.48
1980-10-01,57.33
1981-01-01,58.41
1981-04-01,54.72
1981-07-01,58.75
1981-10-01,49.09
1982-01-01,63.75
1982-04-01,65.82
1982-07-01,61.84
1982-10-01,71.5
1983-01-01,66.96
1983-04-01,65.85
1983-07-01,73.55
1983-10-01,66.57
1984-01-01,69.34
1984-04-01,69.44
1984-07-01,69.56
1984-10-01,71.44
1985-01-01,71.46
1985-04-01,72.97
1985-07-01,72.3
1985-10-01,72.61
1986-01-01,74.57
1986-04-01,76
1986-07-01,75.48
1986-10-01,75.43
1987-01-01,75.89
1987-04-01,75.68
1987-07-01,72.81
1987-10-01,73.92
1988-01-01,72.87
1988-04-01,74.16
1988-07-01,73.3
1988-10-01,72.51
1989-01-01,71.24
1989-04-01,72.15
1989-07-01,72.83
1989-10-01,72.97
1990-01-01,73.3
1990-04-01,73.11
1990-07-01,73.33
1990-10-01,73.17
1991-01-01,72.76
1991-04-01,74.14
1991-07-01,75.13
1991-10-01,76.39
1992-01-01,77.14
1992-04-01,78.53
1992-07-01,80.28
1992-10-01,81.47
1993-01-01,82.94
1993-04-01,85.69
1993-07-01,87.81
1993-10-01,90.04
1994-01-01,91.68
1994-04-01,95.46
1994-07-01,98.13
1994-10-01,98.42
1995-01-01,100.00
1995-04-01,101.91
1995-07-01,104.14
1995-10-01,105.67
1996-01-01,108.12
1996-04-01,109.24
1996-07-01,110.54
1996-10-01,111.62
1997-01-01,112.81
1997-04-01,113.79
1997-07-01,115.32
1997-10-01,116.79
1998-01-01,118.69
1998-04-01,119.59
1998-07-01,120.68
1998-10-01,121.88
1999-01-01,123.04
1999-04-01,124.04
1999-07-01,125.58
1999-10-01,127.15
2000-01-01,130.99
2000-04-01,131.81
2000-07-01,134.2
2000-10-01,136.37
2001-01-01,140.83
2001-04-01,143.42
2001-07-01,146.39
2001-10-01,147.97
2002-01-01,149.46
2002-04-01,150.68
2002-07-01,153.34
2002-10-01,154.7
2003-01-01,155.29
2003-04-01,155.69
2003-07-01,156.88
2003-10-01,158.54
2004-01-01,160.55
2004-04-01,161.55
2004-07-01,165.22
2004-10-01,167.71
2005-01-01,169.27
2005-04-01,173.65
2005-07-01,177.08
2005-10-01,179.6
2006-01-01,181.75
2006-04-01,182.15
2006-07-01,183.89
2006-10-01,185.33
2007-01-01,186.94
2007-04-01,186.22
2007-07-01,184.48
2007-10-01,184.18
2008-01-01,184.73
2008-04-01,181.63
2008-07-01,177.18
2008-10-01,179.23
2009-01-01,180.71
2009-04-01,177.43
2009-07-01,173.9
2009-10-01,174.45
2010-01-01,174.04
2010-04-01,171.08
2010-07-01,173.57
2010-10-01,172.14
2011-01-01,168.2
2011-04-01,164.44
2011-07-01,165.87
2011-10-01,167.61
2012-01-01,166.94
2012-04-01,164.68
2012-07-01,167.4
2012-10-01,169.29
2013-01-01,170.61
2013-04-01,172.1
2013-07-01,174.63
2013-10-01,173.57
2014-01-01,174.05
2014-04-01,178.25
2014-07-01,181.31
2014-10-01,181.43
2015-01-01,184.18
2015-04-01,187.49
2015-07-01,192.63
2015-10-01,193.43
2016-01-01,194.28
2016-04-01,202.01
2016-07-01,206.8
2016-10-01,208.44
2017-01-01,213.41
2017-04-01,220.55
2017-07-01,225.98
2017-10-01,227.79
2018-01-01,236.4
2018-04-01,243.88
2018-07-01,248.43
2018-10-01,249.78
2019-01-01,255.65
2019-04-01,260.48
2019-07-01,264.83
2019-10-01,268.38
2020-01-01,272.94
2020-04-01,278
2020-07-01,283.55
2020-10-01,292.32
2021-01-01,301.13
2021-04-01,324.45
