DATE,ATNHPIUS29820Q
1978-01-01,42.82
1978-04-01,47.79
1978-07-01,50.83
1978-10-01,53.56
1979-01-01,54.21
1979-04-01,58.7
1979-07-01,61.47
1979-10-01,59.1
1980-01-01,64.49
1980-04-01,60.97
1980-07-01,68.05
1980-10-01,66.9
1981-01-01,63.02
1981-04-01,77.02
1981-07-01,76.14
1981-10-01,70.37
1982-01-01,74.98
1982-04-01,77.43
1982-07-01,78.95
1982-10-01,85.18
1983-01-01,76.64
1983-04-01,75.55
1983-07-01,72.25
1983-10-01,69.63
1984-01-01,74.87
1984-04-01,75.06
1984-07-01,70.52
1984-10-01,67.91
1985-01-01,72.92
1985-04-01,72.26
1985-07-01,72.18
1985-10-01,74.54
1986-01-01,74.98
1986-04-01,77.31
1986-07-01,76.92
1986-10-01,76.11
1987-01-01,77.95
1987-04-01,76.64
1987-07-01,76.92
1987-10-01,76.08
1988-01-01,77.04
1988-04-01,77.89
1988-07-01,78.75
1988-10-01,80.29
1989-01-01,80.23
1989-04-01,82
1989-07-01,84.23
1989-10-01,85.6
1990-01-01,87.5
1990-04-01,89.32
1990-07-01,91.75
1990-10-01,92.62
1991-01-01,94.35
1991-04-01,95.39
1991-07-01,95.41
1991-10-01,98.16
1992-01-01,98.34
1992-04-01,97.94
1992-07-01,99.53
1992-10-01,99.57
1993-01-01,99.38
1993-04-01,100.41
1993-07-01,100.38
1993-10-01,100.66
1994-01-01,100.39
1994-04-01,99.81
1994-07-01,99.72
1994-10-01,99.31
1995-01-01,100.00
1995-04-01,102.18
1995-07-01,103.47
1995-10-01,104.29
1996-01-01,105.53
1996-04-01,104.74
1996-07-01,104.49
1996-10-01,105.63
1997-01-01,106.06
1997-04-01,106.14
1997-07-01,107.6
1997-10-01,108.83
1998-01-01,110.32
1998-04-01,110.45
1998-07-01,110.93
1998-10-01,111.85
1999-01-01,112.26
1999-04-01,112.21
1999-07-01,113.06
1999-10-01,113.15
2000-01-01,114.54
2000-04-01,116.03
2000-07-01,117.39
2000-10-01,119.26
2001-01-01,121.84
2001-04-01,123.64
2001-07-01,125.76
2001-10-01,127.41
2002-01-01,129
2002-04-01,130.84
2002-07-01,133.53
2002-10-01,134.46
2003-01-01,136.67
2003-04-01,139.28
2003-07-01,143.13
2003-10-01,152.46
2004-01-01,162.05
2004-04-01,179.91
2004-07-01,206.39
2004-10-01,212.72
2005-01-01,219.29
2005-04-01,228.75
2005-07-01,235.07
2005-10-01,244.89
2006-01-01,252.19
2006-04-01,254.42
2006-07-01,255.78
2006-10-01,257.22
2007-01-01,255.05
2007-04-01,250.88
2007-07-01,243.3
2007-10-01,235.69
2008-01-01,218.42
2008-04-01,195.52
2008-07-01,168.9
2008-10-01,152.31
2009-01-01,150.66
2009-04-01,140.15
2009-07-01,128.09
2009-10-01,121.98
2010-01-01,120.68
2010-04-01,119.32
2010-07-01,118.49
2010-10-01,115.08
2011-01-01,108.77
2011-04-01,102.78
2011-07-01,101.62
2011-10-01,101.27
2012-01-01,100.01
2012-04-01,100.67
2012-07-01,103.82
2012-10-01,106.88
2013-01-01,111.17
2013-04-01,119.38
2013-07-01,127.74
2013-10-01,135.35
2014-01-01,140.04
2014-04-01,143.97
2014-07-01,149.49
2014-10-01,151.12
2015-01-01,154.28
2015-04-01,157.5
2015-07-01,160.88
2015-10-01,165.07
2016-01-01,166.12
2016-04-01,170.36
2016-07-01,173.63
2016-10-01,176.51
2017-01-01,179.33
2017-04-01,186.12
2017-07-01,192.56
2017-10-01,198.99
2018-01-01,206.47
2018-04-01,215.78
2018-07-01,223.34
2018-10-01,226.76
2019-01-01,229.57
2019-04-01,232.26
2019-07-01,232.1
2019-10-01,234.83
2020-01-01,237.61
2020-04-01,240.11
2020-07-01,243.26
2020-10-01,247.93
2021-01-01,254.58
2021-04-01,269.13
