DATE,ATNHPIUS36260Q
1978-01-01,48.67
1978-04-01,48.88
1978-07-01,51.71
1978-10-01,51.37
1979-01-01,56.03
1979-04-01,55.9
1979-07-01,57.52
1979-10-01,54.24
1980-01-01,57.9
1980-04-01,58.49
1980-07-01,60.53
1980-10-01,62.54
1981-01-01,64.56
1981-04-01,63.48
1981-07-01,67.73
1981-10-01,59.77
1982-01-01,63.81
1982-04-01,60.36
1982-07-01,62.91
1982-10-01,69.35
1983-01-01,66.17
1983-04-01,67.53
1983-07-01,64.37
1983-10-01,62.77
1984-01-01,64.95
1984-04-01,65.99
1984-07-01,65.1
1984-10-01,63.05
1985-01-01,66.9
1985-04-01,67.85
1985-07-01,68.68
1985-10-01,66.7
1986-01-01,68.64
1986-04-01,69.69
1986-07-01,69.28
1986-10-01,68.11
1987-01-01,69.88
1987-04-01,67.72
1987-07-01,66.33
1987-10-01,68.2
1988-01-01,65.97
1988-04-01,67.68
1988-07-01,65.97
1988-10-01,67.24
1989-01-01,66.68
1989-04-01,66.69
1989-07-01,67.84
1989-10-01,67.68
1990-01-01,68.43
1990-04-01,68.25
1990-07-01,68.6
1990-10-01,68.42
1991-01-01,69.93
1991-04-01,70.51
1991-07-01,70.33
1991-10-01,72.57
1992-01-01,72.95
1992-04-01,73.23
1992-07-01,74.8
1992-10-01,76.11
1993-01-01,77.35
1993-04-01,80.24
1993-07-01,82.24
1993-10-01,84.64
1994-01-01,88.16
1994-04-01,92.84
1994-07-01,96.16
1994-10-01,97.08
1995-01-01,100.00
1995-04-01,102.51
1995-07-01,106.16
1995-10-01,108.44
1996-01-01,111.29
1996-04-01,112.64
1996-07-01,114.93
1996-10-01,117.16
1997-01-01,119.58
1997-04-01,120.36
1997-07-01,123.49
1997-10-01,125.15
1998-01-01,126.77
1998-04-01,127.84
1998-07-01,129.64
1998-10-01,130.31
1999-01-01,131.34
1999-04-01,130.57
1999-07-01,128.25
1999-10-01,128.86
2000-01-01,128.95
2000-04-01,129.09
2000-07-01,130.38
2000-10-01,132.25
2001-01-01,135.07
2001-04-01,135.26
2001-07-01,135.48
2001-10-01,136.77
2002-01-01,136.38
2002-04-01,135.52
2002-07-01,137.25
2002-10-01,138.17
2003-01-01,138.3
2003-04-01,138.59
2003-07-01,139
2003-10-01,138.51
2004-01-01,139.22
2004-04-01,139.88
2004-07-01,140.05
2004-10-01,142.2
2005-01-01,144.18
2005-04-01,146.91
2005-07-01,150.59
2005-10-01,153.53
2006-01-01,157.04
2006-04-01,162.91
2006-07-01,169.36
2006-10-01,175
2007-01-01,180.44
2007-04-01,185.82
2007-07-01,189.28
2007-10-01,191.52
2008-01-01,191.03
2008-04-01,189.78
2008-07-01,185.07
2008-10-01,186.22
2009-01-01,185.34
2009-04-01,180.86
2009-07-01,175.67
2009-10-01,173.61
2010-01-01,173.02
2010-04-01,169.88
2010-07-01,171.14
2010-10-01,170.06
2011-01-01,162.22
2011-04-01,158.52
2011-07-01,162.27
2011-10-01,162.71
2012-01-01,161.49
2012-04-01,160.02
2012-07-01,162.9
2012-10-01,165.22
2013-01-01,165.6
2013-04-01,169.42
2013-07-01,172.33
2013-10-01,173.65
2014-01-01,174.8
2014-04-01,177.09
2014-07-01,179.85
2014-10-01,181.24
2015-01-01,183.35
2015-04-01,186.67
2015-07-01,190.56
2015-10-01,192.56
2016-01-01,195.88
2016-04-01,201.23
2016-07-01,205.4
2016-10-01,208.3
2017-01-01,211.72
2017-04-01,219.32
2017-07-01,224.2
2017-10-01,228.45
2018-01-01,233.25
2018-04-01,241.17
2018-07-01,246.58
2018-10-01,250.1
2019-01-01,254.41
2019-04-01,260.34
2019-07-01,264.45
2019-10-01,269.01
2020-01-01,272.65
2020-04-01,277.95
2020-07-01,284.88
2020-10-01,295.56
2021-01-01,307.31
2021-04-01,337.85
