DATE,Albany_NY
7/1/1979,37.74
10/1/1979,39.35
1/1/1980,41.3
4/1/1980,39.2
7/1/1980,39.61
10/1/1980,40.23
1/1/1981,43.92
4/1/1981,39.49
7/1/1981,43.16
10/1/1981,.
1/1/1982,43.57
4/1/1982,43.68
7/1/1982,46.35
10/1/1982,43.13
1/1/1983,44.77
4/1/1983,45.83
7/1/1983,49.59
10/1/1983,49.21
1/1/1984,52.33
4/1/1984,52.61
7/1/1984,54.49
10/1/1984,55.56
1/1/1985,56.35
4/1/1985,58.71
7/1/1985,62.6
10/1/1985,60.98
1/1/1986,67.26
4/1/1986,69.43
7/1/1986,72.62
10/1/1986,78.13
1/1/1987,82.19
4/1/1987,84.3
7/1/1987,88.7
10/1/1987,90.83
1/1/1988,93.82
4/1/1988,97.5
7/1/1988,98.63
10/1/1988,99.74
1/1/1989,100.4
4/1/1989,101.53
7/1/1989,103.52
10/1/1989,103.76
1/1/1990,104.3
4/1/1990,103.74
7/1/1990,103.44
10/1/1990,104.79
1/1/1991,104.38
4/1/1991,105.47
7/1/1991,105.34
10/1/1991,105.97
1/1/1992,107.61
4/1/1992,106.36
7/1/1992,107.4
10/1/1992,107.95
1/1/1993,107
4/1/1993,107.43
7/1/1993,107.28
10/1/1993,107.47
1/1/1994,107.18
4/1/1994,104.61
7/1/1994,102.94
10/1/1994,102.94
1/1/1995,100
4/1/1995,100.61
7/1/1995,102.18
10/1/1995,102.48
1/1/1996,103.29
4/1/1996,100.5
7/1/1996,100.73
10/1/1996,99.4
1/1/1997,99.99
4/1/1997,100.35
7/1/1997,99.82
10/1/1997,100.99
1/1/1998,102.81
4/1/1998,101.93
7/1/1998,102.25
10/1/1998,103.4
1/1/1999,103.65
4/1/1999,104.01
7/1/1999,104.2
10/1/1999,102.93
1/1/2000,104.07
4/1/2000,105.42
7/1/2000,107.55
10/1/2000,107.71
1/1/2001,108.96
4/1/2001,111.25
7/1/2001,113.7
10/1/2001,114.62
1/1/2002,115.8
4/1/2002,118.55
7/1/2002,121.22
10/1/2002,124.19
1/1/2003,126.08
4/1/2003,128.66
7/1/2003,132.52
10/1/2003,137.99
1/1/2004,140.89
4/1/2004,146.17
7/1/2004,155.17
10/1/2004,158.28
1/1/2005,162.26
4/1/2005,170.42
7/1/2005,177.13
10/1/2005,179.38
1/1/2006,183.92
4/1/2006,187.37
7/1/2006,187.97
10/1/2006,190.26
1/1/2007,192.07
4/1/2007,193.89
7/1/2007,193.11
10/1/2007,194.21
1/1/2008,195.46
4/1/2008,193.47
7/1/2008,192.22
10/1/2008,190.87
1/1/2009,194.05
4/1/2009,190.9
7/1/2009,189.03
10/1/2009,187.81
1/1/2010,186.96
4/1/2010,187
7/1/2010,189.29
10/1/2010,188.61
1/1/2011,186.53
4/1/2011,184.99
7/1/2011,184.79
10/1/2011,186.74
1/1/2012,185.46
4/1/2012,183.43
7/1/2012,185.2
10/1/2012,185.16
1/1/2013,185.54
4/1/2013,185.25
7/1/2013,186.29
10/1/2013,184.05
1/1/2014,181.76
4/1/2014,183.59
7/1/2014,185.2
10/1/2014,185.4
1/1/2015,186.76
4/1/2015,187.74
7/1/2015,187.98
10/1/2015,187.05
1/1/2016,189.63
4/1/2016,191.49
7/1/2016,193.19
10/1/2016,193.08
1/1/2017,192.2
4/1/2017,195.36
7/1/2017,198.77
10/1/2017,199.35
1/1/2018,200.36
4/1/2018,201.78
7/1/2018,203
10/1/2018,202.57
1/1/2019,205.5
4/1/2019,206.77
7/1/2019,209
10/1/2019,210.26
1/1/2020,210.51
4/1/2020,214.87
7/1/2020,217.5
10/1/2020,223.32
1/1/2021,228.02
4/1/2021,234.92
