DATE,Albuquerque_NM
7/1/1977,36.8
10/1/1977,39.26
1/1/1978,39.84
4/1/1978,41.95
7/1/1978,43.86
10/1/1978,45.83
1/1/1979,47.07
4/1/1979,49.4
7/1/1979,50.08
10/1/1979,50.31
1/1/1980,53
4/1/1980,52.81
7/1/1980,53.6
10/1/1980,55.98
1/1/1981,54.41
4/1/1981,58.07
7/1/1981,57.54
10/1/1981,57.33
1/1/1982,47.22
4/1/1982,53.33
7/1/1982,61.33
10/1/1982,60.34
1/1/1983,59.74
4/1/1983,62.11
7/1/1983,64.42
10/1/1983,65.57
1/1/1984,66.73
4/1/1984,64.63
7/1/1984,66.89
10/1/1984,68.66
1/1/1985,68.17
4/1/1985,69.33
7/1/1985,70.87
10/1/1985,70.17
1/1/1986,71.73
4/1/1986,72.46
7/1/1986,72.93
10/1/1986,73.93
1/1/1987,75.36
4/1/1987,75.3
7/1/1987,75.55
10/1/1987,75.11
1/1/1988,75.27
4/1/1988,75.75
7/1/1988,75.41
10/1/1988,74.39
1/1/1989,75.43
4/1/1989,75.49
7/1/1989,76.61
10/1/1989,76.27
1/1/1990,75.21
4/1/1990,75.47
7/1/1990,75.95
10/1/1990,75.58
1/1/1991,75.91
4/1/1991,76.61
7/1/1991,77.18
10/1/1991,77.94
1/1/1992,79.79
4/1/1992,80.55
7/1/1992,81.02
10/1/1992,82.09
1/1/1993,83.14
4/1/1993,85.3
7/1/1993,87.06
10/1/1993,89.05
1/1/1994,91.57
4/1/1994,95.23
7/1/1994,97.88
10/1/1994,98.86
1/1/1995,100
4/1/1995,102.29
7/1/1995,104.03
10/1/1995,104.93
1/1/1996,105.74
4/1/1996,105.31
7/1/1996,105.31
10/1/1996,105.93
1/1/1997,106.36
4/1/1997,106.53
7/1/1997,107.17
10/1/1997,108.52
1/1/1998,109.16
4/1/1998,108.72
7/1/1998,109.15
10/1/1998,109.91
1/1/1999,109.48
4/1/1999,109.21
7/1/1999,108.9
10/1/1999,108.81
1/1/2000,109.41
4/1/2000,109.14
7/1/2000,109.96
10/1/2000,110.62
1/1/2001,113.08
4/1/2001,113.98
7/1/2001,114.46
10/1/2001,115.34
1/1/2002,115.74
4/1/2002,116.81
7/1/2002,118.38
10/1/2002,119.11
1/1/2003,120.3
4/1/2003,121.57
7/1/2003,122.46
10/1/2003,124.86
1/1/2004,126.27
4/1/2004,128.75
7/1/2004,132.02
10/1/2004,134.32
1/1/2005,136.97
4/1/2005,143.92
7/1/2005,150.08
10/1/2005,154.79
1/1/2006,160.51
4/1/2006,166.91
7/1/2006,172.79
10/1/2006,176.23
1/1/2007,178.6
4/1/2007,180.21
7/1/2007,180.73
10/1/2007,180.93
1/1/2008,181.36
4/1/2008,178.67
7/1/2008,174.48
10/1/2008,173.54
1/1/2009,174.67
4/1/2009,168.41
7/1/2009,164.35
10/1/2009,163.8
1/1/2010,163.29
4/1/2010,160.69
7/1/2010,161.23
10/1/2010,159.96
1/1/2011,155.45
4/1/2011,151.65
7/1/2011,152.53
10/1/2011,153.34
1/1/2012,150.66
4/1/2012,149.74
7/1/2012,151.32
10/1/2012,150.92
1/1/2013,151.5
4/1/2013,151.92
7/1/2013,151.92
10/1/2013,151.29
1/1/2014,152.04
4/1/2014,153.73
7/1/2014,154.97
10/1/2014,155.15
1/1/2015,156
4/1/2015,157.12
7/1/2015,157.44
10/1/2015,157.4
1/1/2016,159.09
4/1/2016,161.12
7/1/2016,163.14
10/1/2016,165.34
1/1/2017,164.21
4/1/2017,166.57
7/1/2017,170.39
10/1/2017,170.15
1/1/2018,171.63
4/1/2018,174.09
7/1/2018,175.35
10/1/2018,175.61
1/1/2019,177.33
4/1/2019,181.77
7/1/2019,184.68
10/1/2019,185.48
1/1/2020,188.86
4/1/2020,191.3
7/1/2020,195.49
10/1/2020,199.88
1/1/2021,206.06
4/1/2021,216
