DATE,Des_Moines_IA
4/1/1977,49.38
7/1/1977,51.84
10/1/1977,53.77
1/1/1978,55.1
4/1/1978,58.12
7/1/1978,57.62
10/1/1978,61.68
1/1/1979,62.6
4/1/1979,65.21
7/1/1979,64.56
10/1/1979,66.16
1/1/1980,60.91
4/1/1980,66.3
7/1/1980,62.77
10/1/1980,65.25
1/1/1981,64.16
4/1/1981,58.15
7/1/1981,55.27
10/1/1981,69.79
1/1/1982,65.67
4/1/1982,61.38
7/1/1982,58.09
10/1/1982,63.21
1/1/1983,66.74
4/1/1983,65.51
7/1/1983,65.77
10/1/1983,66.26
1/1/1984,65.34
4/1/1984,67.28
7/1/1984,66.13
10/1/1984,68.1
1/1/1985,69.12
4/1/1985,69.8
7/1/1985,71.51
10/1/1985,70.73
1/1/1986,72.27
4/1/1986,72.81
7/1/1986,72.3
10/1/1986,72.3
1/1/1987,74
4/1/1987,73.67
7/1/1987,74.13
10/1/1987,72.48
1/1/1988,74.52
4/1/1988,74.86
7/1/1988,75.77
10/1/1988,75.72
1/1/1989,76.74
4/1/1989,78.01
7/1/1989,78.71
10/1/1989,78.69
1/1/1990,79.3
4/1/1990,81.04
7/1/1990,81.73
10/1/1990,82.38
1/1/1991,82.75
4/1/1991,83.85
7/1/1991,84.46
10/1/1991,85.72
1/1/1992,85.51
4/1/1992,86.97
7/1/1992,87.56
10/1/1992,88.44
1/1/1993,89.13
4/1/1993,90.21
7/1/1993,92.2
10/1/1993,92.91
1/1/1994,94.63
4/1/1994,97.92
7/1/1994,99.35
10/1/1994,98.76
1/1/1995,100
4/1/1995,102.94
7/1/1995,103.77
10/1/1995,105.04
1/1/1996,106.13
4/1/1996,106.97
7/1/1996,107.84
10/1/1996,108.45
1/1/1997,109.32
4/1/1997,110.5
7/1/1997,112.06
10/1/1997,112.93
1/1/1998,114.57
4/1/1998,116.09
7/1/1998,117.06
10/1/1998,118.93
1/1/1999,119.69
4/1/1999,121.78
7/1/1999,121.94
10/1/1999,123.59
1/1/2000,124.66
4/1/2000,126.33
7/1/2000,128.02
10/1/2000,129.04
1/1/2001,132.19
4/1/2001,133.45
7/1/2001,134.35
10/1/2001,136.15
1/1/2002,137.72
4/1/2002,138.5
7/1/2002,140.22
10/1/2002,141.46
1/1/2003,142.92
4/1/2003,143.69
7/1/2003,145.64
10/1/2003,148.6
1/1/2004,149.26
4/1/2004,151.27
7/1/2004,153.16
10/1/2004,154.98
1/1/2005,157.13
4/1/2005,159.15
7/1/2005,162.19
10/1/2005,162.74
1/1/2006,162.12
4/1/2006,163.19
7/1/2006,164.04
10/1/2006,165.12
1/1/2007,165.72
4/1/2007,166.53
7/1/2007,165.77
10/1/2007,167.49
1/1/2008,167.99
4/1/2008,164.97
7/1/2008,162.9
10/1/2008,164.14
1/1/2009,165.6
4/1/2009,163.77
7/1/2009,161.27
10/1/2009,160.47
1/1/2010,158.85
4/1/2010,158.6
7/1/2010,160.59
10/1/2010,160.13
1/1/2011,157.62
4/1/2011,156.27
7/1/2011,157.98
10/1/2011,158.41
1/1/2012,157.71
4/1/2012,156.86
7/1/2012,158.31
10/1/2012,158.62
1/1/2013,159.17
4/1/2013,160.24
7/1/2013,161.21
10/1/2013,161.75
1/1/2014,161.36
4/1/2014,165.04
7/1/2014,166.28
10/1/2014,167.76
1/1/2015,167.58
4/1/2015,170.8
7/1/2015,173.52
10/1/2015,175.32
1/1/2016,175.87
4/1/2016,178.62
7/1/2016,181.62
10/1/2016,181.77
1/1/2017,184.43
4/1/2017,187.71
7/1/2017,190.13
10/1/2017,190.6
1/1/2018,192.04
4/1/2018,196.22
7/1/2018,197.3
10/1/2018,197.62
1/1/2019,199.35
4/1/2019,201.39
7/1/2019,202.7
10/1/2019,203.83
1/1/2020,204.37
4/1/2020,205.9
7/1/2020,207.95
10/1/2020,210.65
1/1/2021,212.67
4/1/2021,223.58
