DATE,Miami_Beach_FL
10/1/1975,36.57
1/1/1976,34.75
4/1/1976,35.91
7/1/1976,36.48
10/1/1976,37.95
1/1/1977,37.1
4/1/1977,39.42
7/1/1977,40.32
10/1/1977,41.87
1/1/1978,39.74
4/1/1978,43.06
7/1/1978,42.12
10/1/1978,45.86
1/1/1979,48.38
4/1/1979,48.35
7/1/1979,53.54
10/1/1979,56.79
1/1/1980,58.64
4/1/1980,57.51
7/1/1980,63.51
10/1/1980,64.79
1/1/1981,67.03
4/1/1981,66.93
7/1/1981,55.43
10/1/1981,63.26
1/1/1982,64.35
4/1/1982,70.07
7/1/1982,66.11
10/1/1982,69.86
1/1/1983,68.86
4/1/1983,68.53
7/1/1983,68.93
10/1/1983,69.13
1/1/1984,68.25
4/1/1984,69.67
7/1/1984,67.26
10/1/1984,68.49
1/1/1985,68.87
4/1/1985,67.73
7/1/1985,66.97
10/1/1985,66.83
1/1/1986,68.7
4/1/1986,70.13
7/1/1986,71.28
10/1/1986,71.12
1/1/1987,68.11
4/1/1987,72.57
7/1/1987,73.65
10/1/1987,74.5
1/1/1988,74.63
4/1/1988,76.55
7/1/1988,77.8
10/1/1988,79.15
1/1/1989,79.46
4/1/1989,80.07
7/1/1989,81.65
10/1/1989,81.53
1/1/1990,83.34
4/1/1990,82.86
7/1/1990,83.69
10/1/1990,83.34
1/1/1991,84.62
4/1/1991,84.7
7/1/1991,85.37
10/1/1991,86.98
1/1/1992,87.92
4/1/1992,87.74
7/1/1992,89.07
10/1/1992,89.11
1/1/1993,90.38
4/1/1993,92.72
7/1/1993,95.48
10/1/1993,96.87
1/1/1994,97.6
4/1/1994,98.49
7/1/1994,98.73
10/1/1994,98.89
1/1/1995,100
4/1/1995,101.51
7/1/1995,103.58
10/1/1995,105.21
1/1/1996,106.49
4/1/1996,105.91
7/1/1996,105.6
10/1/1996,107.02
1/1/1997,108.05
4/1/1997,107.7
7/1/1997,107.98
10/1/1997,110.06
1/1/1998,113.32
4/1/1998,113.15
7/1/1998,113.58
10/1/1998,115.73
1/1/1999,116.15
4/1/1999,115.39
7/1/1999,116.71
10/1/1999,118.43
1/1/2000,121.08
4/1/2000,122.88
7/1/2000,124.97
10/1/2000,127.96
1/1/2001,132
4/1/2001,136.34
7/1/2001,140.1
10/1/2001,144.77
1/1/2002,148.85
4/1/2002,154.53
7/1/2002,160.84
10/1/2002,165.75
1/1/2003,170.57
4/1/2003,176.03
7/1/2003,180.63
10/1/2003,190.64
1/1/2004,197.32
4/1/2004,206.84
7/1/2004,220.71
10/1/2004,229.82
1/1/2005,242.09
4/1/2005,258.4
7/1/2005,275.93
10/1/2005,294.43
1/1/2006,308.85
4/1/2006,322
7/1/2006,330.32
10/1/2006,336.51
1/1/2007,342.26
4/1/2007,342.33
7/1/2007,337.8
10/1/2007,330.84
1/1/2008,315.25
4/1/2008,291.92
7/1/2008,256.2
10/1/2008,235.41
1/1/2009,226.29
4/1/2009,212.9
7/1/2009,199.58
10/1/2009,200.42
1/1/2010,195.82
4/1/2010,194.06
7/1/2010,197.13
10/1/2010,194.14
1/1/2011,184.87
4/1/2011,180.56
7/1/2011,182.08
10/1/2011,184.84
1/1/2012,180.83
4/1/2012,182.22
7/1/2012,186.49
10/1/2012,193.52
1/1/2013,196.4
4/1/2013,205.72
7/1/2013,210.85
10/1/2013,217.89
1/1/2014,221.98
4/1/2014,228.94
7/1/2014,236.68
10/1/2014,242.22
1/1/2015,244.88
4/1/2015,252.24
7/1/2015,260.25
10/1/2015,264.94
1/1/2016,271.15
4/1/2016,275.59
7/1/2016,282.99
10/1/2016,287.97
1/1/2017,292.72
4/1/2017,299.24
7/1/2017,303.18
10/1/2017,307.92
1/1/2018,316.08
4/1/2018,317.86
7/1/2018,324.42
10/1/2018,328.42
1/1/2019,331.13
4/1/2019,335.81
7/1/2019,342.61
10/1/2019,344.44
1/1/2020,350.58
4/1/2020,353.98
7/1/2020,360.13
10/1/2020,367.04
1/1/2021,377.99
4/1/2021,396.49
