DATE,Mobile_AL
1/1/1984,82.21
4/1/1984,78.58
7/1/1984,84.78
10/1/1984,68.81
1/1/1985,68.13
4/1/1985,80.04
7/1/1985,79.09
10/1/1985,80.57
1/1/1986,79
4/1/1986,81.75
7/1/1986,83.13
10/1/1986,83.82
1/1/1987,83.35
4/1/1987,81.32
7/1/1987,80.49
10/1/1987,80.27
1/1/1988,83.91
4/1/1988,83.02
7/1/1988,83.67
10/1/1988,80.32
1/1/1989,80.04
4/1/1989,78.59
7/1/1989,80.65
10/1/1989,82.54
1/1/1990,80.33
4/1/1990,81.39
7/1/1990,82.78
10/1/1990,82.95
1/1/1991,83.44
4/1/1991,84.4
7/1/1991,85.36
10/1/1991,86.87
1/1/1992,88.19
4/1/1992,87.41
7/1/1992,89.37
10/1/1992,90.55
1/1/1993,91.63
4/1/1993,93.23
7/1/1993,94.75
10/1/1993,95.41
1/1/1994,94.69
4/1/1994,96.01
7/1/1994,97.66
10/1/1994,97.48
1/1/1995,100
4/1/1995,102.33
7/1/1995,102.84
10/1/1995,101.53
1/1/1996,104.54
4/1/1996,104.55
7/1/1996,106.14
10/1/1996,106.84
1/1/1997,109.68
4/1/1997,109.75
7/1/1997,110.61
10/1/1997,111.79
1/1/1998,113.37
4/1/1998,115.42
7/1/1998,117.4
10/1/1998,118.63
1/1/1999,119.25
4/1/1999,119.91
7/1/1999,120.79
10/1/1999,121.76
1/1/2000,121.86
4/1/2000,123.29
7/1/2000,124.34
10/1/2000,125.96
1/1/2001,130.1
4/1/2001,130.8
7/1/2001,132.05
10/1/2001,133.32
1/1/2002,132.37
4/1/2002,133.26
7/1/2002,135.59
10/1/2002,136.51
1/1/2003,139.09
4/1/2003,139.85
7/1/2003,140.55
10/1/2003,140.18
1/1/2004,140.3
4/1/2004,141.81
7/1/2004,145.2
10/1/2004,146.03
1/1/2005,144.71
4/1/2005,149.36
7/1/2005,153.84
10/1/2005,158.5
1/1/2006,164.46
4/1/2006,171
7/1/2006,177.67
10/1/2006,181.76
1/1/2007,183.81
4/1/2007,188.39
7/1/2007,188.64
10/1/2007,190.27
1/1/2008,191.29
4/1/2008,191.18
7/1/2008,188.79
10/1/2008,187.93
1/1/2009,191.66
4/1/2009,189.05
7/1/2009,182.75
10/1/2009,181.38
1/1/2010,178.55
4/1/2010,172.79
7/1/2010,174.47
10/1/2010,171.97
1/1/2011,164.97
4/1/2011,165.23
7/1/2011,162.84
10/1/2011,163.71
1/1/2012,160.07
4/1/2012,158.81
7/1/2012,158.14
10/1/2012,158.47
1/1/2013,157.23
4/1/2013,155.36
7/1/2013,156.42
10/1/2013,156.22
1/1/2014,156.14
4/1/2014,158.16
7/1/2014,161.2
10/1/2014,157.11
1/1/2015,164.49
4/1/2015,164.76
7/1/2015,163.54
10/1/2015,162.51
1/1/2016,162.55
4/1/2016,166.12
7/1/2016,168.57
10/1/2016,170.45
1/1/2017,169.24
4/1/2017,170.68
7/1/2017,175.5
10/1/2017,174.7
1/1/2018,181.42
4/1/2018,180.26
7/1/2018,180.88
10/1/2018,184.21
1/1/2019,185.49
4/1/2019,190.86
7/1/2019,191.79
10/1/2019,197.34
1/1/2020,196.78
4/1/2020,199.78
7/1/2020,205.64
10/1/2020,207.73
1/1/2021,216.27
4/1/2021,220.71
