DATE,Savannah_GA
1/1/1984,72.42
4/1/1984,72.46
7/1/1984,59.66
10/1/1984,75.19
1/1/1985,73.47
4/1/1985,74.82
7/1/1985,75.59
10/1/1985,76.51
1/1/1986,77.14
4/1/1986,78.23
7/1/1986,80.37
10/1/1986,81.24
1/1/1987,80.84
4/1/1987,80.42
7/1/1987,82.11
10/1/1987,80.61
1/1/1988,80.23
4/1/1988,82.55
7/1/1988,83.6
10/1/1988,81.63
1/1/1989,81.54
4/1/1989,82.3
7/1/1989,83.29
10/1/1989,84.58
1/1/1990,85.06
4/1/1990,82.29
7/1/1990,84.19
10/1/1990,82.43
1/1/1991,83.71
4/1/1991,84.77
7/1/1991,86.86
10/1/1991,86.37
1/1/1992,86.66
4/1/1992,88.14
7/1/1992,90.96
10/1/1992,90.65
1/1/1993,90.03
4/1/1993,92.52
7/1/1993,94.23
10/1/1993,95.65
1/1/1994,96.92
4/1/1994,98.18
7/1/1994,96.32
10/1/1994,99.45
1/1/1995,100
4/1/1995,99.73
7/1/1995,102.9
10/1/1995,104.49
1/1/1996,104.47
4/1/1996,105
7/1/1996,106.88
10/1/1996,108.52
1/1/1997,109.84
4/1/1997,110.25
7/1/1997,112.07
10/1/1997,113.4
1/1/1998,115.95
4/1/1998,116.89
7/1/1998,118.13
10/1/1998,121.65
1/1/1999,122.15
4/1/1999,123.43
7/1/1999,125.65
10/1/1999,128.1
1/1/2000,130.1
4/1/2000,132.33
7/1/2000,132.65
10/1/2000,135.32
1/1/2001,139.27
4/1/2001,140.17
7/1/2001,142.3
10/1/2001,144.42
1/1/2002,147.82
4/1/2002,147.71
7/1/2002,151.11
10/1/2002,154.31
1/1/2003,156.43
4/1/2003,158.22
7/1/2003,160.62
10/1/2003,164.68
1/1/2004,167.79
4/1/2004,172.53
7/1/2004,180.45
10/1/2004,183.97
1/1/2005,188.44
4/1/2005,193.77
7/1/2005,201.35
10/1/2005,205.01
1/1/2006,211.94
4/1/2006,215.2
7/1/2006,218.36
10/1/2006,225.07
1/1/2007,229.04
4/1/2007,230.42
7/1/2007,230.08
10/1/2007,227.39
1/1/2008,229.6
4/1/2008,228.41
7/1/2008,220.47
10/1/2008,220.94
1/1/2009,225.5
4/1/2009,218.9
7/1/2009,210.66
10/1/2009,211.22
1/1/2010,202.14
4/1/2010,201.43
7/1/2010,202.26
10/1/2010,193.05
1/1/2011,193.37
4/1/2011,183.9
7/1/2011,183.44
10/1/2011,184.7
1/1/2012,177.88
4/1/2012,176.84
7/1/2012,176.83
10/1/2012,182.52
1/1/2013,181.89
4/1/2013,182.84
7/1/2013,187.1
10/1/2013,189.64
1/1/2014,188.9
4/1/2014,190
7/1/2014,197.63
10/1/2014,195.65
1/1/2015,194.96
4/1/2015,205.14
7/1/2015,205.93
10/1/2015,200.22
1/1/2016,206.28
4/1/2016,213.82
7/1/2016,212.86
10/1/2016,215.15
1/1/2017,218.65
4/1/2017,222.55
7/1/2017,224.21
10/1/2017,227.06
1/1/2018,225.87
4/1/2018,233.79
7/1/2018,239.73
10/1/2018,239.14
1/1/2019,241.42
4/1/2019,247.44
7/1/2019,253.59
10/1/2019,255.39
1/1/2020,256.22
4/1/2020,259.31
7/1/2020,265.62
10/1/2020,267.67
1/1/2021,274.72
4/1/2021,289.35
